---- Opened the serial port COM8 ----
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 aa aa aa
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 aa aa aa
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 aa aa aa
4 41 c 0 0 0 0 0
4 41 c 0 0 aa aa aa
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 aa aa aa
4 41 c 0 0 0 0 0
4 41 c 0 0 aa aa aa
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 aa aa aa
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 7 8e aa aa aa
4 41 c 14 46 0 0 0
4 41 c 11 16 0 0 0
4 41 c e da 0 0 0
4 41 c d 4 0 0 0
4 41 c b be 0 0 0
4 41 c b 48 0 0 0
4 41 c a c6 aa aa aa
4 41 c b 18 0 0 0
4 41 c b 48 0 0 0
4 41 c b 42 0 0 0
4 41 c b 68 0 0 0
4 41 c a e0 aa aa aa
4 41 c a 96 0 0 0
4 41 c b 5e 0 0 0
4 41 c b 74 0 0 0
4 41 c b 16 0 0 0
4 41 c b 2 aa aa aa
4 41 c a aa 0 0 0
4 41 c a d8 0 0 0
4 41 c a dc 0 0 0
4 41 c a fa 0 0 0
4 41 c a ea aa aa aa
4 41 c a dc 0 0 0
4 41 c a ca 0 0 0
4 41 c a e4 0 0 0
4 41 c a de 0 0 0
4 41 c a d8 aa aa aa
4 41 c a e0 0 0 0
4 41 c b 4 0 0 0
4 41 c b 6 0 0 0
4 41 c a da 0 0 0
4 41 c b 1c aa aa aa
4 41 c a ce 0 0 0
4 41 c a fa 0 0 0
4 41 c a de 0 0 0
4 41 c b a 0 0 0
4 41 c a c0 aa aa aa
4 41 c a f4 0 0 0
4 41 c b e 0 0 0
4 41 c b 24 0 0 0
4 41 c a e6 0 0 0
4 41 c a f0 aa aa aa
4 41 c a d6 0 0 0
4 41 c a f4 aa aa aa
4 41 c a e4 0 0 0
4 41 c a f8 0 0 0
4 41 c a ee aa aa aa
4 41 c b 20 0 0 0
4 41 c b 2 aa aa aa
4 41 c a f0 0 0 0
4 41 c a ec 0 0 0
4 41 c a fc 0 0 0
4 41 c a ea 0 0 0
4 41 c b 2 0 0 0
4 41 c a e0 0 0 0
4 41 c a e6 0 0 0
4 41 c a f6 0 0 0
4 41 c a f6 0 0 0
4 41 c a ea 0 0 0
4 41 c a ee 0 0 0
4 41 c a f2 0 0 0
4 41 c a fc 0 0 0
---- Closed the serial port COM8 ----
---- Opened the serial port COM8 ----
4 41 c 0 0 aa aa aa
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 aa aa aa
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 aa aa aa
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 aa aa aa
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 aa aa aa
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 aa aa aa
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
---- Closed serial port COM8 due to disconnection from the machine ----
---- Closed the serial port COM10 ----
**** Failed to open the serial port COM10 ****
---- Opened the serial port COM8 ----
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
4 41 c 0 0 0 0 0
